Genus,Protein Count
Escherichia,73194
Alteromonas,1848
Pseudoalteromonas,1100
Streptococcus,4431
Bacillus,40465
Lactobacillus,6146
Spiroplasma,51
Yersinia,3553
Pseudomonas,26743
Acholeplasma,18
Xanthomonas,1852
Lactococcus,13348
Chlamydia,43
Mycobacterium,116259
Methanobacterium,63
Mycoplasma,44
Vibrio,22524
Chlamydophila,22
Staphylococcus,21069
Salmonella,30421
Mycoplasmopsis,22
Bdellovibrio,205
Acinetobacter,9238
Myxococcus,172
Listeria,7086
Burkholderia,4142
Haemophilus,92
Rhizobium,4904
Sinorhizobium,2449
Halorubrum,537
Shigella,9501
Propionibacter,5289
Propionibacterium,5289
Clostridium,4044
Natrialba,94
Thermus,901
Streptomyces,11399
Rhodothermus,146
Actinobacillus,67
Ralstonia,2539
Aeromonas,10847
Bordetella,493
Klebsiella,15765
Actinoplanes,76
Flavobacterium,3191
Listonella,94
Stenotrophomonas,1940
Sodalis,165
Pasteurella,178
Mannheimia,590
Geobacillus,311
Erwinia,14311
Microbacter,3353
Microbacterium,3353
Actinomyces,22
Brevibacterium,175
Corynebacterium,1150
Enterococcus,9156
Thalassomonas,94
Mycolicibacter,1011
Mycolicibacterium,1011
Halomonas,46
Azospirillum,95
Spirillum,243
Morganella,426
Iodobacter,168
Bacteroides,653
Clostridioides,150
Kluyvera,48
Sulfitobacter,520
Ruegeria,821
Aggregatibacter,66
Xylella,598
Delftia,696
Clavibacter,304
Tsukamurella,491
Brochothrix,656
Campylobacter,2366
Roseobacter,784
Pantoea,699
Gordonia,20748
Rhodobacter,513
Helicobacter,182
Nocardia,136
Rhodococcus,3313
Cronobacter,6800
Salisaeta,114
Colwellia,298
Anaerobacter,114
Anaerobacterium,114
Lyticum,114
Thermoanaerobacter,114
Thermoanaerobacterium,114
Marinomonas,212
Weissella,133
Persicivirga,234
Leuconostoc,901
Croceibacter,187
Celeribacter,112
Providencia,664
Cutibacterium,1032
Caulobacter,7205
Brucella,598
Enterobacter,2885
Riemerella,160
Agrobacterium,1448
Sphingomonas,641
Pectobacterium,3198
Salinivibrio,189
Liberibacter,219
Lactiplantibacillus,120
Dickeya,1920
Tetrasphaera,132
Serratia,4135
Psychrobacter,169
Cellulophaga,4748
Salicola,64
Loktanella,76
Rhodovulum,115
Edwardsiella,948
Paenibacillus,2787
Arthrobacter,5867
Brevibacillus,1366
Citrobacter,4133
Achromobacter,1810
Oenococcus,226
Haloarcula,8
Shewanella,203
Nitrincola,288
Dinoroseobacter,457
Mesorhizobium,64
Idiomarina,242
Lelliottia,98
Paracoccus,160
Aurantimonas,67
Proteus,2245
Hydrogenobaculum,26
Sala,186
Parabacteroides,10
Rhodoferax,88
Erysipelothrix,43
Oricola,159
Sulfolobus,56
Aquamicrobium,48
Sphingobium,196
Acidovorax,253
Gluconobacter,36
Priestia,266
Salinibacter,308
Leclercia,46
Faecalibacter,589
Faecalibacterium,589
Eggerthella,44
Curvibacter,46
Raoultella,309
Rheinheimera,705
Aeribacillus,73
Lentibacter,113
Leptospira,164
Anoxybacillus,61
Photobacterium,214
Butyrivibrio,50
Bifidobacterium,46
Tenacibaculum,722
Roseovarius,91
Halobacterium,179
Fusobacterium,246
Laribacter,190
Polaribacter,190
Olleya,79
Maribacter,393
Saccharomonospora,132
Acidithiobacillus,71
Thiobacillus,71
Mycobacteroides,126
